GVKEY;DATADATE;SIC;AT;CHE;DLC;DLTT;SEQ;WCAP;DVC;OIBDP;SALE;TXT;XINT;XRD;AQC;CAPX;CSHO;PRCC_F;market_to_book;log_firm_size;cf;nwc;capex;leverage;div;rd_to_sales;sic_2;ind_cf_vol;ind_cf_no_level_vol;cash;log_cash;aqc_to_asset;year
013041;20151231;6020;28792.6530;1284.1850;227.1040;2136.8140;3000.1960;;55.3540;587.8440;1213.8820;132.4910;;;0.0000;28.3810;129.5470;32.3800;1.0414875232;10.267875529;;;0.0009857028;0.0821014305;1;0;60;0.0187928862;715.68214687;0.0446011349;-3.064369609;0;2015
013071;20151231;8071;838.4350;0.4460;33.1140;607.6140;32.5770;72.8700;;101.3390;809.6280;6.0070;41.6840;;0.1083;42.9640;46.2810;6.1800;1.3022769565;6.7315370589;;0.0863799818;0.0512430898;0.764195197;0;0;80;0.0713741736;153.43965487;0.0005319434;-7.538441301;0.0001291543;2015
013092;20150930;5812;1303.9790;17.7430;26.6770;688.5790;15.9530;-81.4000;37.5900;288.9090;1540.3170;65.7690;19.1800;0.0000;0.0000;96.6220;35.7820;77.0400;3.1017917313;7.1731756381;0.1275864105;-0.076031132;0.0740978191;0.5485180359;1;0;58;0.0628405586;74.080080418;0.0136068142;-4.283484331;0;2015
013125;20151231;6798;21449.8490;407.1160;1381.2280;9687.7750;9343.6430;;1046.6380;;2601.6250;-9.0110;488.3940;0.0000;0.0000;0.0000;465.4880;38.2400;1.3942507064;9.9734728847;;;0;0.5160410686;1;0;67;0.0898624057;65.515246222;0.0189799005;-3.945212397;0;2015
013128;20150731;8711;68.4890;10.1370;1.2230;0.3950;36.9150;31.6400;2.0660;9.5300;126.7400;3.7690;0.1160;;0.0007;0.7350;4.2870;11.3100;1.1689464002;4.2266731484;0.0522565667;0.3139628261;0.0107316503;0.0236242316;1;0;87;0.0502293603;48.621073001;0.1480091694;-1.750301538;0.0000106593;2015
013142;20151231;6798;14446.3660;54.1850;12958.3940;97.9860;1298.3240;;92.7440;;217.2980;0.0000;93.9750;0.0000;0.0000;0.0000;95.8250;8.7400;0.9681017704;9.578198174;;;0;0.9037829998;1;0;67;0.0898624057;65.515246222;0.0037507703;-5.582036235;0;2015
013184;20151231;2836;67.0240;57.2970;0.0000;0.0000;44.0790;41.3470;0.0000;-57.4600;0.1000;0.0010;0.0000;43.3960;0.0000;0.3310;66.4800;2.6500;2.970831344;4.2050507642;-0.857319766;-0.237974457;0.0049385295;0;0;9.3397790055;28;0.1594186108;281.99144253;0.8548728814;1.7733427424;0;2015
013189;20151231;6798;1321.5820;7.6750;129.2840;547.7380;596.0500;;17.0010;;149.2070;0.0000;28.6810;0.0000;0.0000;;81.8670;7.0800;0.987566689;7.1865847828;;;;0.5122814929;1;0;67;0.0898624057;65.515246222;0.0058074338;-5.142792127;0;2015
013200;20151031;3674;1045.5550;205.8670;65.4950;67.1200;646.5550;171.4220;0.0000;153.9170;524.2060;13.1810;4.9900;21.9200;0.0000;104.0330;66.6020;9.5900;0.9924998494;6.9523031239;0.1298315249;-0.032944226;0.0995002654;0.1268369431;0;0.0418156221;36;0.0530655079;357.40218539;0.1968973416;-1.405800065;0;2015
013289;20150630;6159;731.0740;65.4160;47.5140;4.4390;188.2180;;4.3930;;28.9700;5.7600;0.0620;;0.0000;0.0000;10.4600;13.4900;0.9355570024;6.5945146858;;;0;0.0710639415;1;0;61;0.0234358266;1353.7764839;0.089479314;-2.320009148;0;2015
013312;20150630;1000;124580.0000;6753.0000;3201.0000;27969.0000;64768.0000;3516.0000;16041.0000;18931.0000;45052.0000;3666.0000;631.0000;13.0000;0.0000;12763.0000;2660.5930;40.7100;1.349532357;11.732703359;-0.011293948;-0.025983304;0.102448226;0.2502006743;1;0.0002885554;10;0.1097820982;1307.5475823;0.0542061326;-2.859230596;0;2015
013323;20151031;2015;1251.4610;196.6590;10.0000;0.0000;1029.8610;401.5430;31.0920;410.6590;2803.4800;118.0900;2.6160;;0.0000;158.2890;22.5210;69.5100;1.4279587698;7.1320669478;0.2068470372;0.1637158489;0.1264833662;0.0079906605;1;0;20;0.0427437163;220.10805184;0.1571435306;-1.679637086;0;2015
013341;20151231;6331;29819.3000;6927.3000;27.2000;2680.7000;7289.4000;;520.5000;2201.0000;20833.9000;611.1000;138.4000;;0.0257;130.7000;583.6000;31.8000;1.3779122917;10.302911114;0.0312213902;;0.0043830673;0.0908103141;1;0;63;0.0233668766;856.47686929;0.2323092762;-1.195317378;8.6067032E-7;2015
013342;20151231;6331;2736.5790;26.9860;0.0000;149.6680;823.4690;;119.5770;198.6000;794.6340;59.1380;7.4260;;0.0000;10.0350;43.5440;61.7500;1.6816441257;7.9144638792;0.0045527646;;0.0036669871;0.0546916424;1;0;63;0.0233668766;856.47686929;0.0098612172;-4.609235505;0;2015
013354;20150228;3714;677.5130;8.7230;6.0760;80.1880;396.1400;154.3120;0.0000;33.2930;757.4980;1.6380;6.8510;20.7770;0.0000;17.1950;24.1350;8.6000;0.7216599534;6.5184287408;0.0366103676;0.2148873896;0.0253795868;0.1273244941;0;0.0274284553;37;0.0458247768;878.20751255;0.0128750297;-4.339506894;0;2015
013375;20151231;4813;1982.3080;26.5280;12.0500;1404.4150;88.2630;80.3470;0.0000;335.8380;978.5340;-1.8470;88.3880;;0.0064;176.2350;38.7210;19.7800;1.3418431344;7.5920171014;0.1257609816;0.0271496659;0.0889039443;0.7145534397;0;0;48;0.0466568352;939.83483306;0.0133823805;-4.300343591;3.2410877E-6;2015
013381;20150131;5651;261.1000;4.5860;26.8910;26.6510;92.3900;42.3080;0.0000;15.2000;414.0200;0.2430;2.1320;0.0000;0.0000;40.9270;50.6830;5.0800;1.632246802;5.5649034757;0.0491191115;0.1444733818;0.1567483723;0.2050631942;0;0;56;0.0442228268;137.52028823;0.0175641517;-4.02417506;0;2015
