Day;Date;Spot;Vol;Rate;Hedge;Rehedge_Value;Option_Value;Interpolated_Vol;Delta;Maturity;Forward;Hedge_Position;Stock_Position;Trading_Gain;Position_Value;Acc_Trading_Gain;Trades;Hedge_name;Scenario;Scenario_Group;Hedge_Type;Day_Type
0.25;2013-12-10;1.3739;7.11;-0.000442095;1;1.3739;19599.51528;0.071100103;-492862.1941;0.25297619;1.373746352;200000;[(200000.0,_1.3737463522907851)];;19599.51528;0;1;200k;scenario27;170;fix;First
0.25;2014-01-08;1.3616;7.1125;-0.000265878;1;1.3616;19430.98704;0.071125062;-492861.6414;0.25297619;1.361508421;200000;[(200000.0,_1.3615084207697379)];;19430.98704;0;1;200k;scenario28;170;fix;First
0.25;2014-03-20;1.3833;6.7225;-0.000470953;1;1.3833;18658.18848;0.06722511;-493250.2838;0.25297619;1.383135204;200000;[(200000.0,_1.3831352035992017)];;18658.18848;0;1;200k;scenario29;170;fix;First
0.25;1999-11-29;1.0154;11.35;0.027342029;1;1.0154;23135.01634;0.11349512;-488804.3581;0.25297619;1.022447748;200000;[(200000.0,_1.02244774844875)];;23135.01634;0;1;200k;scenario3;170;fix;First
0.25;2014-05-23;1.3656;6.1275;-0.000157714;1;1.3656;16789.47026;0.061275037;-493850.6483;0.25297619;1.365545517;200000;[(200000.0,_1.3655455165325376)];;16789.47026;0;1;200k;scenario30;170;fix;First
0.25;2014-06-23;1.3592;5.1875;0.001141536;1;1.3592;14148.20071;0.051874796;-494812.9945;0.25297619;1.359592568;200000;[(200000.0,_1.3595925683982175)];;14148.20071;0;1;200k;scenario31;170;fix;First
0.25;2014-11-03;1.2517;7.8225;0.002630936;1;1.2517;19647.25005;0.07822453;-492178.8965;0.25297619;1.252533364;200000;[(200000.0,_1.2525333639652498)];;19647.25005;0;1;200k;scenario32;170;fix;First
0.25;2015-01-28;1.1381;11.5325;0.003376128;1;1.1381;26334.36125;0.115324397;-488454.4422;0.25297619;1.139072444;200000;[(200000.0,_1.1390724436612285)];;26334.36125;0;1;200k;scenario33;170;fix;First
0.25;2015-12-04;1.094;10.155;0.009463467;1;1.094;22294.34961;0.101548311;-489886.3286;0.25297619;1.096622208;200000;[(200000.0,_1.0966222083951849)];;22294.34961;0;1;200k;scenario34;170;fix;First
0.25;2016-01-04;1.0858;10;0.009723764;1;1.0858;21789.78335;0.099998264;-490044.9756;0.25297619;1.088474226;200000;[(200000.0,_1.0884742263346938)];;21789.78335;0;1;200k;scenario35;170;fix;First
0.25;2000-03-01;0.9635;12.9;0.025146624;1;0.9635;24946.79553;0.128995512;-487213.7917;0.25297619;0.96964884;200000;[(200000.0,_0.9696488396738975)];;24946.79553;0;1;200k;scenario4;170;fix;First
0.25;2001-05-24;0.8567;11.3;-0.005495719;1;0.8567;19420.04186;0.11300128;-488626.1385;0.25297619;0.85550977;200000;[(200000.0,_0.8555097695075005)];;19420.04186;0;1;200k;scenario5;170;fix;First
0.25;2001-10-12;0.9026;11.35;-0.012611164;1;0.9026;20548.08344;0.113502937;-488526.6892;0.25297619;0.899725002;200000;[(200000.0,_0.8997250018800342)];;20548.08344;0;1;200k;scenario6;170;fix;First
0.25;2002-01-28;0.8651;10.425;-0.015184949;1;0.8651;18088.29245;0.104253536;-489427.1311;0.25297619;0.861783153;200000;[(200000.0,_0.8617831532277189)];;18088.29245;0;1;200k;scenario7;170;fix;First
0.25;2002-03-06;0.8717;8.575;-0.014995999;1;0.8717;14991.46542;0.085753493;-491259.663;0.25297619;0.868399357;200000;[(200000.0,_0.8683993567885061)];;14991.46542;0;1;200k;scenario8;170;fix;First
0.25;2002-08-01;0.9775;10.875;-0.016159628;1;0.9775;21320.32263;0.108753763;-488973.4914;0.25297619;0.973512136;200000;[(200000.0,_0.9735121356451726)];;21320.32263;0;1;200k;scenario9;170;fix;First
0.25;1999-03-30;1.073;9.45;0.020543091;1;1.073;20354.5503;0.094496333;-490691.3309;0.25297619;1.078590802;200000;[(200000.0,_1.0785908024172406)];;20354.5503;0;1;200k;scenario1;180;fix;First
0.25;2002-02-26;0.869;8.875;-0.015533762;1;0.869;15467.79449;0.088753618;-490958.6264;0.25297619;0.865591816;200000;[(200000.0,_0.8655918159972654)];;15467.79449;0;1;200k;scenario10;180;fix;First
0.25;2002-03-27;0.8767;8.45;-0.014435083;1;0.8767;14857.83955;0.084503362;-491388.2425;0.25297619;0.873504365;200000;[(200000.0,_0.8735043646404795)];;14857.83955;0;1;200k;scenario11;180;fix;First
0.25;2002-08-01;0.9775;10.875;-0.016159628;1;0.9775;21320.32263;0.108753763;-488973.4914;0.25297619;0.973512136;200000;[(200000.0,_0.9735121356451726)];;21320.32263;0;1;200k;scenario12;180;fix;First
0.25;2002-09-11;0.975;10.65;-0.015372985;1;0.975;20826.12557;0.10650358;-489202.5025;0.25297619;0.971215589;200000;[(200000.0,_0.9712155893526631)];;20826.12557;0;1;200k;scenario13;180;fix;First
0.25;2002-11-06;0.9997;9.4;-0.016576815;1;0.9997;18846.55156;0.094003861;-490430.9872;0.25297619;0.995516497;200000;[(200000.0,_0.995516496527317)];;18846.55156;0;1;200k;scenario14;180;fix;First
