Day;Date;Spot;Vol;Rate;Hedge;Rehedge_Value;Option_Value;Interpolated_Vol;Delta;Maturity;Forward;Hedge_Position;Stock_Position;Trading_Gain;Position_Value;Acc_Trading_Gain;Trades;Hedge_name;Scenario;Scenario_Group;Hedge_Type;Day_Type
21;2007-06-22;1.347;5.05;0.012178471;0;;10048.32044;0.051063431;-458632.6119;0.170634921;1.349802074;218720.1609;[(90918.961569879262,_1.3471303385244826),_(118690.72005143814,_1.346413356521371),_(663.65857856831281,_1.3363131872972978),_(8446.8206760923495,_1.3362329318085047)];0;10815.41357;3418.002483;7;200k;scenario21;170;fix;Last
21;2007-08-08;1.3798;6.05;0.011241673;0;;11998.25367;0.061340469;-448870.948;0.170634921;1.382449303;212545.2884;[(95304.302073825005,_1.3783828274073386),_(109031.99217280364,_1.3780728419867085),_(2539.4517107183347,_1.3677907589555596),_(5669.5424100340751,_1.3677607179623905)];0;12981.59467;3145.032658;7;200k;scenario22;170;fix;Last
21;2012-05-03;1.3152;9.7525;0.001957616;0;;20856.50255;0.097657515;-487372.2351;0.170634921;1.3156394;204659.5624;[(135481.6374823972,_1.3150265797853322),_(69177.924948188593,_1.3147028098237947)];0;21004.27037;2445.784488;9;200k;scenario23;170;fix;Last
21;2013-05-08;1.3153;7.7725;0.002379663;0;;13977.45145;0.079263115;-431238.3358;0.170634921;1.315834191;113172.6125;[(113172.61249265791,_1.3090907802560035)];0;14740.31101;5604.698996;14;200k;scenario24;170;fix;Last
21;2013-08-29;1.3241;8.41;0.001362751;0;;21462.35312;0.083086224;-547697.0147;0.170634921;1.324407933;202484.3022;[(119111.71272871608,_1.3306484710382742),_(83372.589504452422,_1.330512948771527)];0;20210.33207;3133.85789;9;200k;scenario25;170;fix;Last
21;2013-10-17;1.3675;6.995;0.000842163;0;;10051.71316;0.073958725;-351078.1948;0.170634921;1.367696527;105777.4232;[(105777.42323056466,_1.352440392989234)];0;11665.23583;1754.285342;4;200k;scenario26;170;fix;Last
21;2014-01-07;1.3616;7.05;-0.00019063;0;;22365.75438;0.068836902;-617621.1908;0.170634921;1.36155571;289342.3423;[(117070.79210836929,_1.3737463522907851),_(82009.565852416505,_1.3738920695016261),_(114.6081602711929,_1.3638843226343889),_(90147.376218781224,_1.3639)];0;19715.20217;2577.484848;8;200k;scenario27;170;fix;Last
21;2014-02-05;1.3533;7.075;0.000179803;0;;19976.59484;0.069534062;-577340.3622;0.170634921;1.353341521;294559.1319;[(109380.07739911569,_1.3615084207697379),_(91595.573932641448,_1.3615362159858277),_(93583.480567402672,_1.3516442504429842)];0;18491.5829;1881.30313;6;200k;scenario28;170;fix;Last
21;2014-04-17;1.3814;6.01;-0.000836798;0;;14608.96018;0.059793919;-517641.8618;0.170634921;1.381202768;202322.206;[(200000.0,_1.3831352035992017),_(2322.2060315516428,_1.3731343854457154)];0;14241.15703;861.7169328;3;200k;scenario29;170;fix;Last
21;1999-12-27;1.0133;11.4;0.028766504;0;;21081.16897;0.113102277;-525721.4494;0.170634921;1.018286081;214062.8657;[(136617.25348398832,_1.02244774844875),_(70949.314708856255,_1.0214833164810695),_(3418.0926842033514,_1.0111949218413976),_(3078.2048470643931,_1.010820905957223)];0;20336.65287;4199.22984;13;200k;scenario3;170;fix;Last
