"","sigma_s","sigma_e","theta","k_d","lambda","lambda_real","v_bar","time","price","price_cond","k_tilde"
"14112",1,1,1,1.5,0.5,0.95,5,11.01,6.28082500900302,-0.601116421274877,3.84669986138501
"14113",1,1,1,1.5,0.5,0.95,5,11.11,6.28430704628858,-0.604598458560437,3.8787290026122
"14114",1,1,1,1.5,0.5,0.95,5,11.21,6.287733764381,-0.608025176652859,3.91075814383938
"14115",1,1,1,1.5,0.5,0.95,5,11.31,6.29110604213737,-0.611397454409226,3.94278728506657
"14116",1,1,1,1.5,0.5,0.95,5,11.41,6.29442474445234,-0.614716156724199,3.97481642629376
"14117",1,1,1,1.5,0.5,0.95,5,11.51,6.29769072247999,-0.617982134751845,4.00684556752094
"14118",1,1,1,1.5,0.5,0.95,5,11.61,6.30090481385207,-0.621196226123926,4.03887470874813
"14119",1,1,1,1.5,0.5,0.95,5,11.71,6.30406784289288,-0.624359255164736,4.07090384997531
"14120",1,1,1,1.5,0.5,0.95,5,11.81,6.30718062083065,-0.62747203310251,4.1029329912025
"14121",1,1,1,1.5,0.5,0.95,5,11.91,6.31024394600563,-0.630535358277486,4.13496213242968
"14122",1,1,1,1.5,0.5,0.95,5,12.01,6.3132586040748,-0.633550016346656,4.16699127365687
"14123",1,1,1,1.5,0.5,0.95,5,12.11,6.3162253682134,-0.636516780485262,4.19902041488406
"14124",1,1,1,1.5,0.5,0.95,5,12.21,6.31914499931324,-0.639436411585098,4.23104955611124
"14125",1,1,1,1.5,0.5,0.95,5,12.31,6.3220182461778,-0.642309658449654,4.26307869733843
"14126",1,1,1,1.5,0.5,0.95,5,12.41,6.32484584571431,-0.645137257986168,4.29510783856561
"14127",1,1,1,1.5,0.5,0.95,5,12.51,6.32762852312275,-0.647919935394613,4.3271369797928
"14128",1,1,1,1.5,0.5,0.95,5,12.61,6.33036699208184,-0.650658404353701,4.35916612101998
"14129",1,1,1,1.5,0.5,0.95,5,12.71,6.33306195493206,-0.653353367203915,4.39119526224717
"14130",1,1,1,1.5,0.5,0.95,5,12.81,6.33571410285578,-0.65600551512764,4.42322440347436
"14131",1,1,1,1.5,0.5,0.95,5,12.91,6.33832411605458,-0.658615528326435,4.45525354470154
"14132",1,1,1,1.5,0.5,0.95,5,13.01,6.34089266392363,-0.661184076195483,4.48728268592873
"14133",1,1,1,1.5,0.5,0.95,5,13.11,6.34342040522341,-0.663711817495273,4.51931182715591
"14134",1,1,1,1.5,0.5,0.95,5,13.21,6.34590798824869,-0.666199400520553,4.5513409683831
"14135",1,1,1,1.5,0.5,0.95,5,13.31,6.34835605099474,-0.6686474632666,4.58337010961028
"14136",1,1,1,1.5,0.5,0.95,5,13.41,6.35076522132099,-0.67105663359285,4.61539925083747
"14137",1,1,1,1.5,0.5,0.95,5,13.51,6.35313611711206,-0.67342752938392,4.64742839206466
"14138",1,1,1,1.5,0.5,0.95,5,13.61,6.35546934643623,-0.675760758708086,4.67945753329184
"14139",1,1,1,1.5,0.5,0.95,5,13.71,6.35776550770137,-0.67805691997323,4.71148667451903
"14140",1,1,1,1.5,0.5,0.95,5,13.81,6.36002518980846,-0.680316602080315,4.74351581574621
"14141",1,1,1,1.5,0.5,0.95,5,13.91,6.36224897230257,-0.682540384574427,4.7755449569734
"14142",1,1,1,1.5,0.5,0.95,5,14.01,6.36443742552155,-0.684728837793405,4.80757409820059
"14143",1,1,1,1.5,0.5,0.95,5,14.11,6.36659111074226,-0.68688252301412,4.83960323942777
"14144",1,1,1,1.5,0.5,0.95,5,14.21,6.36871058032457,-0.689001992596427,4.87163238065496
"14145",1,1,1,1.5,0.5,0.95,5,14.31,6.37079637785297,-0.691087790124831,4.90366152188214
"14146",1,1,1,1.5,0.5,0.95,5,14.41,6.37284903827604,-0.693140450547897,4.93569066310933
"14147",1,1,1,1.5,0.5,0.95,5,14.51,6.3748690880436,-0.695160500315454,4.96771980433651
"14148",1,1,1,1.5,0.5,0.95,5,14.61,6.37685704524175,-0.69714845751361,4.9997489455637
"14149",1,1,1,1.5,0.5,0.95,5,14.71,6.37881341972578,-0.699104831997632,5.03177808679089
"14150",1,1,1,1.5,0.5,0.95,5,14.81,6.38073871325085,-0.701030125522705,5.06380722801807
